### log10(T/K)  T(K)  kT(keV)  L(E>0.1keV)   L(E>0.5keV)   L(E>1keV)   L(E>5keV)
5.0   1.00e5  8.62e-3  5.8367e-27  4.1466e-44  1.0000e-99  1.0000e-99
5.2   1.58e5  1.37e-2  6.8811e-26  2.6346e-37  3.2389e-61  1.0000e-99
5.4   2.51e5  2.17e-2  2.5779e-24  4.5753e-33  1.7373e-42  1.0000e-99
5.6   3.98e5  3.43e-2  1.5294e-23  4.6865e-29  8.5475e-37  1.0000e-99
5.8   6.31e5  5.44e-2  1.5956e-23  1.4946e-26  1.5328e-31  1.0000e-99
6.0   1.00e6  8.62e-2  1.7678e-23  4.4298e-25  2.1702e-28  5.5245e-45
6.2   1.58e6  1.37e-1  1.7051e-23  3.457e-24   2.0096e-26  1.2783e-37
6.4   2.51e6  2.17e-1  1.8891e-23  8.6502e-24  3.3858e-25  3.1030e-33
6.6   3.98e6  3.43e-1  2.0251e-23  1.3377e-23  2.0055e-24  4.4475e-30
6.8   6.31e6  5.44e-1  2.6735e-23  2.0372e-23  4.8506e-24  7.5642e-28
7.0   1.00e7  8.62e-1  2.8442e-23  2.1794e-23  8.0418e-24  2.1866e-26
7.2   1.58e7  1.37e+0  1.8402e-23  1.4098e-23  1.0059e-23  2.6677e-25
7.4   2.51e7  2.17e+0  1.5671e-23  1.245e-23   9.7572e-24  1.2128e-24
7.6   3.98e7  3.43e+0  1.7602e-23  1.4766e-23  1.2231e-23  3.2522e-24
7.8   6.31e7  5.44e+0  2.1008e-23  1.8497e-23  1.6162e-23  6.6094e-24
8.0   1.00e8  8.62e+0  2.5335e-23  2.3118e-23  2.0989e-23  1.1207e-23
8.2   1.58e8  1.37e+1  3.0165e-23  2.8226e-23  2.6301e-23  1.6799e-23


