# log10(T/K)      T(K)        E(keV)     j(E>0.1)      j(E>0.2)      j(E>0.3)      j(E>0.5)      j(E>1)      j(E>2)      j(E>5)      j(E>10)
5.000000e+00 1.000000e+05 8.617343e-03 8.440100e-27 8.117700e-32 9.485500e-37 5.850000e-47 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.050000e+00 1.122018e+05 9.668818e-03 1.585100e-26 5.338200e-31 2.912300e-35 1.719500e-44 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.100000e+00 1.258925e+05 1.084859e-02 2.755400e-26 2.787700e-30 5.922900e-34 2.640000e-42 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.150000e+00 1.412538e+05 1.217232e-02 4.630500e-26 1.213800e-29 8.205000e-33 2.372300e-40 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.200000e+00 1.584893e+05 1.365757e-02 7.841200e-26 4.579000e-29 8.502000e-32 1.366700e-38 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.250000e+00 1.778279e+05 1.532404e-02 1.387800e-25 1.555800e-28 6.973200e-31 5.777800e-37 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.300000e+00 1.995262e+05 1.719386e-02 2.619900e-25 4.987600e-28 4.664900e-30 1.642300e-35 1.540900e-48 1.000000e-99 1.000000e-99 1.000000e-99
5.350000e+00 2.238721e+05 1.929183e-02 5.212300e-25 1.509300e-27 2.606700e-29 3.647800e-34 1.292700e-45 1.000000e-99 1.000000e-99 1.000000e-99
5.400000e+00 2.511886e+05 2.164579e-02 1.044300e-24 4.177900e-27 1.230700e-28 8.033800e-33 3.291800e-43 1.000000e-99 1.000000e-99 1.000000e-99
5.450000e+00 2.818383e+05 2.428697e-02 1.990800e-24 1.060500e-26 5.043900e-28 1.551500e-31 4.704600e-41 1.000000e-99 1.000000e-99 1.000000e-99
5.500000e+00 3.162278e+05 2.725043e-02 3.443400e-24 2.476600e-26 1.790000e-27 1.906500e-30 3.848600e-39 1.000000e-99 1.000000e-99 1.000000e-99
5.550000e+00 3.548134e+05 3.057549e-02 5.374500e-24 5.410200e-26 5.567400e-27 1.461600e-29 2.241500e-37 1.000000e-99 1.000000e-99 1.000000e-99
5.600000e+00 3.981072e+05 3.430626e-02 7.678600e-24 1.138000e-25 1.545600e-26 8.186100e-29 7.962400e-36 5.681300e-50 1.000000e-99 1.000000e-99
5.650000e+00 4.466836e+05 3.849226e-02 1.012100e-23 2.324300e-25 3.877100e-26 3.724100e-28 2.007100e-34 9.664400e-46 1.000000e-99 1.000000e-99
