# log10(T/K)      T(K)        E(keV)     j(E>0.1)      j(E>0.2)      j(E>0.3)      j(E>0.5)      j(E>1)      j(E>2)      j(E>5)      j(E>10)
5.000000e+00 1.000000e+05 8.617343e-03 8.440600e-27 8.117700e-32 9.379600e-37 5.849000e-47 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.200000e+00 1.584893e+05 1.365757e-02 7.839100e-26 4.579000e-29 8.414300e-32 1.390700e-38 1.000000e-99 1.000000e-99 1.000000e-99 1.000000e-99
5.400000e+00 2.511886e+05 2.164579e-02 1.044300e-24 4.177700e-27 1.228800e-28 8.376200e-33 3.291500e-43 1.000000e-99 1.000000e-99 1.000000e-99
5.600000e+00 3.981072e+05 3.430626e-02 7.678800e-24 1.138000e-25 1.545800e-26 8.257200e-29 7.959100e-36 5.578400e-50 1.000000e-99 1.000000e-99
5.800000e+00 6.309573e+05 5.437176e-02 1.586100e-23 1.569600e-24 3.585100e-25 1.506700e-26 6.321700e-31 4.100000e-39 1.000000e-99 1.000000e-99
6.000000e+00 1.000000e+06 8.617343e-02 2.178000e-23 7.861300e-24 2.347900e-24 4.593700e-25 4.181500e-28 3.258000e-33 1.000000e-99 1.000000e-99
6.200000e+00 1.584893e+06 1.365757e-01 2.487300e-23 1.477600e-23 7.294900e-24 3.634300e-24 2.348200e-26 1.490000e-29 4.118900e-39 1.000000e-99
6.400000e+00 2.511886e+06 2.164579e-01 2.274500e-23 1.855100e-23 1.373800e-23 8.989400e-24 3.523700e-25 2.631500e-27 2.203000e-33 1.920800e-43
6.600000e+00 3.981072e+06 3.430626e-01 2.451100e-23 2.200300e-23 1.686600e-23 1.398400e-23 1.969600e-24 5.096100e-26 6.339600e-30 2.817900e-36
6.800000e+00 6.309573e+06 5.437176e-01 2.773900e-23 2.501700e-23 2.258100e-23 2.055500e-23 4.695400e-24 3.391600e-25 9.400700e-28 8.822200e-32
7.000000e+00 1.000000e+07 8.617343e-01 2.820500e-23 2.480400e-23 2.347000e-23 2.160300e-23 7.879200e-24 1.285500e-24 2.561300e-26 6.534300e-29
7.200000e+00 1.584893e+07 1.365757e+00 1.820400e-23 1.644100e-23 1.555000e-23 1.393600e-23 9.853200e-24 2.942400e-24 2.932000e-25 4.677200e-27
7.400000e+00 2.511886e+07 2.164579e+00 1.573000e-23 1.471200e-23 1.391600e-23 1.251400e-23 9.797000e-24 5.121100e-24 1.257200e-24 7.714900e-26
7.600000e+00 3.981072e+07 3.430626e+00 1.766300e-23 1.682100e-23 1.610200e-23 1.483300e-23 1.230800e-23 8.286000e-24 3.317300e-24 5.157100e-25
7.800000e+00 6.309573e+07 5.437176e+00 2.116000e-23 2.042600e-23 1.978200e-23 1.863600e-23 1.628300e-23 1.258800e-23 6.705000e-24 1.958100e-24
8.000000e+00 1.000000e+08 8.617343e+00 2.553300e-23 2.489200e-23 2.432100e-23 2.329600e-23 2.114100e-23 1.772200e-23 1.130200e-23 5.060900e-24
8.200000e+00 1.584893e+08 1.365757e+01 3.000500e-23 2.945000e-23 2.895100e-23 2.804900e-23 2.612000e-23 2.300500e-23 1.655600e-23 9.652700e-24
8.400000e+00 2.511886e+08 2.164579e+01 3.555100e-23 3.507300e-23 3.463800e-23 3.384400e-23 3.211900e-23 2.926200e-23 2.294000e-23 1.563200e-23
8.600000e+00 3.981072e+08 3.430626e+01 4.038100e-23 3.997100e-23 3.959400e-23 3.890300e-23 3.737900e-23 3.480000e-23 2.882100e-23 2.148500e-23
8.800000e+00 6.309573e+08 5.437176e+01 4.343500e-23 4.308500e-23 4.276100e-23 4.216400e-23 4.083200e-23 3.853900e-23 3.303400e-23 2.595500e-23
