Temp(K)	7.64-11.2	11.2-13.6	13.6-16.3	16.3-21.56	21.56-24.6	24.6-30.65	30.65-35.1	35.1-40.96	40.96-47.89	47.89-54.4	54.4-64.5	64.5-77.0	
3500.0	5.299355221909089e-13	1.181060522464707e-19	1.6709775946366589e-28	9.676754241333042e-34	3.4802604181825434e-44	2.0916113596723558e-50	1.319927065906686e-63	3.7130139605725374e-72	1.0230739594759537e-83	2.92233729066331e-98	1.94734170126752e-111	1.8798112693343705e-132	
3750.0	2.173756947267328e-12	1.6101877266764461e-18	2.7012026163056946e-27	3.060577739500787e-32	4.1522196713436833e-42	5.3580289216553526e-48	1.755401040638246e-60	1.4325378714077043e-68	1.6291049169056247e-79	2.785054756493929e-93	9.324075849280235e-106	1.2044012295959022e-125	
4000.0	4.625022735635722e-12	4.697512056581454e-18	1.1186793270579747e-26	1.933978432668648e-31	6.025639660884345e-41	1.251742361222897e-46	1.1440979419597283e-58	1.809726031983282e-66	4.96342656386814e-77	2.5672336776847236e-90	2.327477296012433e-102	1.483541695982659e-121	
4250.0	8.145288693019051e-12	7.901765388090643e-18	3.748945414639795e-26	8.953367960895992e-31	5.267828026802856e-40	1.5749074228338864e-45	3.159428536607672e-57	8.304046593950419e-65	4.483130117967931e-75	5.437608817768121e-88	1.0626382106462667e-99	2.323449648543528e-118	
4500.0	1.7929797346232306e-11	1.3915581015707886e-17	1.4347660957269332e-25	4.71884282086136e-30	5.21048949376061e-39	2.2339914932161638e-44	9.773317385389488e-56	4.252790306406495e-63	4.503641617242935e-73	1.2758166824098769e-85	5.359406385461754e-97	4.007293520735703e-115	
4750.0	1.0842032553707118e-10	6.51536417238256e-17	2.2490410128270227e-24	1.332503255066193e-28	4.668880907670453e-37	3.872732756880822e-42	7.056006665858172e-53	7.715287434439299e-60	2.8013381866429853e-69	3.732133909735954e-81	6.326131052308384e-92	4.436494655244367e-109	
5000.0	8.045888437711136e-10	1.0730513427631606e-15	5.876068846962826e-23	6.88390393177339e-27	9.136052129732743e-35	1.618224411546619e-39	1.5169543381993625e-49	4.766104271642869e-56	7.103825493804552e-65	5.546126283989586e-76	4.608658773331167e-86	4.114745713902938e-102	
5250.0	3.598346899668608e-09	1.7520183455003528e-14	1.2352424041142552e-21	2.7502751940087824e-25	1.2775949172599577e-32	4.617952616134899e-37	2.0221688540165836e-46	1.7156381452055714e-52	9.701048392582442e-61	4.01360556510631e-71	1.4947036021951026e-80	1.4714567598139137e-95	
5500.0	1.5347201040651526e-08	8.276027577887823e-14	1.5817558167908015e-20	5.7456001648687176e-24	6.937982531856481e-31	4.321327695223298e-35	6.137245937564133e-44	1.1118560194748853e-49	1.7458807172631286e-57	2.5910450383878448e-67	3.047636870530811e-76	1.8921506650656574e-90	
5750.0	7.57233572496624e-08	5.307046742739289e-13	2.372895246773979e-19	1.4325352331634936e-22	4.662956392671906e-29	5.1102030389209724e-33	2.461620700983441e-41	9.799418473747617e-47	4.451792128630598e-54	2.492197596208151e-63	9.689712524765256e-72	4.078365656952241e-85	
6000.0	2.8706829406087313e-07	2.4714279675598522e-12	1.2763578096948253e-18	1.1594238526501682e-21	8.372032183879394e-28	1.4444161023069189e-31	1.853462192505035e-39	1.3866001525804172e-44	1.4768383887858946e-51	2.3934516236472513e-60	2.4216409646619185e-68	4.696931199699553e-81	
6250.0	9.328154844953487e-07	9.851942171761702e-12	5.2396328492117535e-18	6.853012681750302e-21	1.0070179477966074e-26	2.6045054166290655e-30	8.00715333879372e-38	1.0511493169151584e-42	2.395729889628204e-49	1.0021358814757363e-57	2.3800835821431846e-65	1.8023863966330064e-77	
6500.0	2.6448611887940706e-06	3.361858111548946e-11	2.175334209025184e-17	3.9380625990074933e-20	1.090143987045358e-25	4.045611383690919e-29	2.7105484090343055e-36	5.874057272538297e-41	2.6398797060245877e-47	2.573833482029287e-55	1.3091498531141289e-62	3.3411033071869263e-74	
6750.0	6.582228059683602e-06	9.628689064347732e-11	9.314102069747166e-17	2.22506329600137e-19	1.0567616687330863e-24	5.336040263188504e-28	6.946117347869168e-35	2.3078755444152097e-39	1.8512504748053122e-45	3.7145990463351784e-53	3.618514498349686e-60	2.601720072977038e-71	
7000.0	1.4641331289547228e-05	2.5262834099248535e-10	3.595230442449967e-16	1.0992333288244718e-18	8.435837146520107e-24	5.601463630603488e-27	1.315863920954897e-33	6.390701514380409e-38	8.580254742267944e-44	3.269792761369761e-51	5.6740739703920674e-58	2.061569369207725e-46	
7250.0	2.967487710864369e-05	5.83915403314653e-10	1.3645488085680775e-15	5.123939835053524e-18	5.86194931563337e-23	4.889107330626026e-26	1.8774032456484808e-32	1.2506859105663472e-36	2.5786745710366375e-42	1.6764174771860681e-49	4.706029190461809e-56	2.2582723769775413e-45	
7500.0	5.645100829759652e-05	1.3156019546972484e-09	4.7165678734165665e-15	2.1174342066782608e-17	3.4257032993005715e-22	3.4825498645718307e-25	2.0487913152755587e-31	1.7955944188699935e-35	5.373710045104078e-41	5.554999130025815e-48	1.5743378694147394e-45	1.972297193878026e-45	
7750.0	0.00010717567201445579	3.0438748183098964e-09	1.666761058725547e-14	8.781105514834265e-17	1.937390930845072e-21	2.3510771598296056e-24	2.0266078744571013e-30	2.2707064300107394e-34	9.485295393930198e-40	8.376480327258322e-46	1.381093977239196e-45	1.730205331847432e-45	
8000.0	0.0002494400108071334	7.2305262520853164e-09	5.2767660846266866e-14	3.206358199146226e-16	9.325719787214535e-21	1.324724877633504e-23	1.6047748650374694e-29	2.196394776771596e-33	8.519693212201691e-46	7.378943201534933e-46	1.2166224495110338e-45	1.5241588796130862e-45	
8250.0	0.0008033589517881055	1.772477683219288e-08	1.661085571887005e-13	1.150408426812092e-15	4.309841133042602e-20	7.069682764972803e-23	1.1948909243006104e-27	1.2895821620614244e-31	7.534156151180056e-46	6.525365283274776e-46	1.0758865704835084e-45	1.3478479461873827e-45	
8500.0	0.0024291426058198544	4.5667086252464876e-08	5.24351749039159e-13	4.120339718515292e-15	2.6132555236262608e-18	4.55860234465401e-21	4.397429414100043e-27	5.739457702996575e-31	6.685980978423817e-46	5.790757091543539e-46	9.547661345016979e-46	1.1961108250464084e-45	
8750.0	0.006190729688545611	1.2653740757250765e-07	1.862538808256679e-12	7.21995999585379e-14	6.0781585413111634e-18	1.2068245488238153e-20	1.5415802069382398e-26	2.4145146932905378e-30	5.953255991649326e-46	5.1561408060637975e-46	8.50132124094984e-46	1.0650275492651532e-45	
9000.0	0.013693302140907592	3.590768761164817e-07	1.0907016434193707e-10	5.641009780201969e-13	1.4970717919832855e-17	3.41184631510691e-20	5.893127416444541e-26	1.1370528438659623e-29	-0.0	-0.0	-0.0	-0.0	
9250.0	0.02503006171725368	9.181381323082285e-07	1.8120448166372812e-10	1.0435281734292552e-12	3.491699876611807e-17	9.044216816755118e-20	2.151382518577755e-25	5.395794755924139e-29	4.804201300613631e-34	4.126950199605892e-46	6.804416464149145e-46	8.524429068842643e-46	
9500.0	0.03871140280160446	2.029516615477456e-06	2.95689987668631e-10	1.913408902219486e-12	8.275338472601511e-17	2.417341092872026e-19	8.510238793536377e-25	2.946052443616214e-28	7.664243620300864e-33	3.708461242454997e-46	6.11442191311868e-46	7.660018485049457e-46	
